,source_sentence,pred,bart_score_gold
4480,is a commune in the LOCATION@1 department in the LOCATION@2 region of LOCATION@3 .,It is found in the region Nord-Pas-de-Calais in the LOCATION@1 department in the north of LOCATION@3.,-3.044833899
4481,", A.L. -LRB- 1968 -RRB- , Pacific Affairs , University of British Columbia , 641-643 There are differences in culture among the different ethnic groups in matters such as dress , food , and religion , especially where pre-Islamic customs differ from Islamic practices .","Basham, A.L. -LRB- 1968 -RRB-, Pacific Affairs, University of British Columbia, 641-643 There are differences in culture among the different ethnic groups in matters such as dress, food, and religion, especially where pre-Islamic customs differ from Islamic practices.",-1.572013378
4482,can be compared to Bachelor 's and Master 's degrees in other countries .,It can be compared to Bachelor's and Masters degrees in other countries.,-1.923345089
4483,is physically possible for men who have sufficient flexibility or penis size or a combination of the two to perform autofellatio -LRB- approximately 3 in every 1000 men are capable of doing this -RRB- .,It is physically possible for men who have enough flexibility or penis size to do autofellatio. approximately 3 in every 1000 men are capable of doing this.,-4.764123917
4484,became the eighth month either when January and February were added to the beginning of the year by King Numa Pompilius about 700 BC or when those two months were moved from the end to the beginning of the year by the decemvirs about 450 BC -LRB- Roman writers disagree -RRB- .,It became the eighth month either when January and February were added to the beginning of the year by King Numa Pompilius about 700 BC or when those two months were moved from the end to the beginning of the year by the decemvirs about 450 BC.,-1.440256357
4485,"recreational facilities include 24 parks , miles of paved walking pathways , playgrounds , a bike lane , tennis courts , baseball and soccer fields , ice rinks , a golf course and a wading pool .","There are 24 parks, miles of paved walking paths, playgrounds, a bike lane, tennis courts, baseball and soccer fields, ice rinks, a golf course and a wading pool.",-1.296419978
4486,is a commune in the Gironde department in Aquitaine in south-western France .,Saint-Mariens is a commune. It is found in the region Aquitaine in the Gironde department in the southwest of France.,-2.853774548
4487,1815 Gerresheim was taken over by the Kingdom of Prussia .,"In 1815, Gerresheim was taken over by the Kingdom of Prussia.",-2.027251244
4488,"also got involved during the match by hitting ORGANIZATION@1 with a kendo stick , while later on ORGANIZATION@1 threw a trash can at him .","Hornswoggle also got involved during the match by hitting ORGANIZATION@1 with a kendo stick, while later on ORGANIZATION@1 threw a trash can at him.",-2.746062279
4489,"Love Buzz '' and '' Big Cheese '' , however , were recorded from June to September 1988 at at Reciprocal Studios .",'' Love Buzz '' and '' Big Cheese '' were recorded from June to September 1988 at Reciprocal Studios.,-3.417051315
4490,"article is about all reflecting pools , for the two named reflecting pools see Lincoln Memorial Reflecting Pool and Capitol Reflecting Pool .","This article is about all reflecting pools, for the two named reflecting pools see Lincoln Memorial Reflecting Pool and Capitol Reflecting Pool.",-2.660559893
4491,"is a parody of '' Pretty Fly -LRB- For a White Guy -RRB- '' by The Offspring , and it was released from the 1999 album Running with Scissors .","It is a parody of '' Pretty Fly -LRB- For a White Guy -RRB- '' by The Offspring, and it was released from the 1999 album Running with Scissors.",-0.626282156
4492,"was sent to school in Heidelberg , Germany , where she became an accomplished pianist .","Isabella was sent to school in Heidelberg, where she became an accomplished pianist.",-2.116660833
4493,"is a personal firewall software application originally developed by Zone Labs , which was acquired in March 2004 by Check PointCheck Point acquires Zone Labs March 2004 .","ZoneAlarm is a personal firewall software application originally developed by Zone Labs, which was bought in March 2004 by Check PointCheck Point acquires Zone Labs March 2004.",-4.448174953
4494,C. K. January 21 2000 .,Yoon C. K. January 21 2000.,-5.691869736
4495,Olisadebe -LRB- born 22 December 1978 in Warri -RRB- is a Nigerian-born Polish football striker who last played for Chinese football club Henan Construction in the Chinese Super League .,Emmanuel Olisadebe -LRB- born 22 December 1978 -RRB- is a Polish football player. He plays for Henan Construction.,-2.007925749
4496,university has approximately NUMBER@1 faculty in eight colleges and NUMBER@2 academic departments .,The university has about NUMBER@1 faculty in eight colleges and NUMBER@2 academic departments.,-1.335125208
4497,"Julian day or PERSON@1 day number -LRB- JDN -RRB- is the integer number of days that have elapsed since the initial epoch defined as noon Universal Time -LRB- ORGANIZATION@1 -RRB- Monday , January NUMBER@1 , NUMBER@2 BC in the PERSON@1 calendar This equals November NUMBER@3 , NUMBER@4 BC in the proleptic Gregorian calendar .","The Julian day or PERSON@1 day number is the integer number of days that have elapsed since the initial epoch defined as noon Universal Time -LRB- ORGANIZATION@1 -RRB- Monday, January NUMBER@1, NUMBER@2 BC in the PERSON@1 calendar This equals November NUMBER@3, NUMBER@4 BC in the proleptic Gregorian calendar.",-0.374815077
4498,Gulf of LOCATION@1 used to be called The LOCATION@2 in maps of antiquity .,The Gulf of LOCATION@1 used to be called The LOCATION@2 in ancient maps.,-1.180211186
4499,"never officially disbanding , PERSON@1 in Chains was plagued by extended inactivity due to substance abuse , culminating in the death of PERSON@2 in NUMBER@1 .","Although never officially disband, PERSON@1 in Chains was plagued by extended inactivity due to substance abuse, ending in the death of PERSON@2 in NUMBER@1.",-5.175875664
4500,"destroying the mud men , they tried again by creating wooden creatures that could speak but had no soul or blood and quickly forgot their creators ; who destroyed the creatures by tearing them apart .","After destroying the mud men, they tried again by creating wooden creatures that could speak but had no soul or blood and quickly forgot their creators ; who destroyed the creatures by tearing them apart.",-1.373605132
4501,reign saw vital developments in legislature and government -- in particular the evolution of the English parliament -- as well as the ravages of the Black Death .,His reign saw vital developments in legislature and government -- in particular the evolution of the English parliament.,-5.802628517
4502,"accepted to have first been made in LOCATION@1 , where the dish is widely known as -LRB- -RRB- , falafel has become a dish eaten throughout the LOCATION@2 .","Falafel was first made in LOCATION@1, where the dish is widely known as -LRB- -RRB-.",-4.5045228
4503,"major defining work of this period , the Critique de la raison dialectique -LRB- Critique of Dialectical Reason -RRB- appeared in 1960 -LRB- a second volume appeared posthumously -RRB- .","His major work of this period, the Critique de la raison dialectique -LRB- Critique of Dialectical Reason -RRB- appeared in 1960.",-1.112673402
4504,"NUMBER@1 years old and in poor health , PERSON@1 was persuaded to run for re-election in NUMBER@2 , as he was considered the only candidate who could defeat PERSON@2 .","PERSON@1 was NUMBER@1 years old and in poor health, so he decided to run for re-election in NUMBER@2.",-1.245582342
4505,"was established in the 17th century as a trading post for the ORGANIZATION@1 , but later grew to encompass much of western and central LOCATION@1 , as well as parts of post-partition LOCATION@2 and the LOCATION@3 .","It was established in the 17th century as a trading post for the ORGANIZATION@1, but later grew to encompass much of western and central LOCATION@1, as well as parts of post-partition LOCATION@2 and the LOCATION@3.",-1.571411729
4506,"MureÅ -LRB- Romanian MureÅ ; Hungarian PERSON@1 ; Latin : PERSON@2 , Croatian : MoriÅ , German : PERSON@3 , PERSON@4 or Muresch , Serbian : Ð Ð 3\/4 Ñ Ð Ñ , Ð Ñ Ñ Ð Ñ -RRB- is an approximately NUMBER@1 km -LRB- NUMBER@2 mi -RRB- long river in LOCATION@1 .","The Mure -LRB- Romanian Mure ; Hungarian PERSON@1 ; Latin : PERSON@2, Croatian : Mori, German : PERSON@3, PERSON@4 or Muresch -RRB- is an approximately NUMBER@1 km -LRB- NUMBER@2 mi -RRB- long river in LOCATION@1.",-1.01590991
4507,city 's official population was NUMBER@1 as of the NUMBER@2 census .,The official population of the city was NUMBER@1 as of the NUMBER@2 census.,-5.235006332
4508,Governor of LOCATION@1 is the head of the executive branch of LOCATION@1 's government and the commander-in-chief of the state 's military forces .,The Governor of LOCATION@1 is the head of the executive branch of LOCATION@1's government and the leader of the state's military forces.,-0.948597312
4509,Rum Tum Tugger,The Rum Tugger,-7.825677872
4510,is home to Union College and the Appalachian Children 's Home .,Barbourville is a town in the Appalachian Mountains.,-3.404315472
4511,"is an Internet-based news site for LOCATION@1 and LOCATION@2 , LOCATION@3 .","ORGANIZATION@1 is a news site for LOCATION@1 and LOCATION@2, LOCATION@3.",-2.486189365
4512,", crankshaft torsional vibration , present to some degree in all engines , is sufficient to require the use of a harmonic damper at the accessory end of the crankshaft .","However, crankshaft torsional vibration is sufficient to require the use of a harmonic damper at the accessory end of the crankshaft.",-1.796545506
4513,"Lucas -LRB- 15 January 1900 -- 21 June 2010 -RRB- from Bude , Cornwall was a British supercentenarian , he was the oldest living man verified in Europe since the death of Harry Patch on 25 July 2009 .","Stanley Lucas -LRB- January 15, 1900 -- June 21, 2010 -RRB- from Bude, Cornwall was a British supercentenarian. He was the oldest living person verified in Europe since the death of Harry Patch on 25 July 2009.",-1.433673739
4514,"Wikipedia , this approach is utilised , and for the sake of consistency , the genus Paranthropus is used for all articles which mention the species P. aethiopicus P. boisei and P. robustus .","On Wikipedia, this approach is used, and for the sake of consistency, the genus Paranthropus is used for all articles which mention the species P. aethiopicus P. boisei and P. robustus.",-0.82286489
4515,"architectural model is a type of a scale model , tangible -LRB- also called sometimes physical -RRB- representation of a structure built to study aspects of an architectural design or to communicate design ideas to clients , committees , and the general public .","An architectural model is a type of scale model, tangible -LRB- also called sometimes physical -RRB- representation of a building built to study aspects of an architectural design or to communicate design ideas to clients, committees, and the general public.",-3.917840004
