source_sentence,gold_sentence,pred
Fedora Unity is a community project to build comprehensive and concise websites and content that provide Fedora users and contributors with quality information .,Re-spins,Fedora Unity is a community project to build comprehensive and concise websites and content that provide Fedora users and contributors with quality information.
The first algorithm for finding a minimum spanning tree was developed by Czech scientist PERSON@1 BorÅ vka in NUMBER@1 -LRB- see BorÅ vka 's algorithm -RRB- .,"Czech scientist PERSON@2 vka developed the first known algorithm for finding a minimum spanning tree , in NUMBER@1 .",The first algorithm for finding a minimum spanning tree was developed by Czech scientist PERSON@1 Bor vka in NUMBER@1 -LRB- see Bor vka's algorithm -RRB-.
"The tram , manufactured by LOCATION@1 based ORGANIZATION@1 , was being tested as part of a bid to replace the current trams .",The tram was built by Mersyside based ORGANIZATION@1 . It was being tested as part of a bid to replace the current trams . .,"The tram, manufactured by LOCATION@1 based ORGANIZATION@1, was being tested as part of a bid to replace the current trams."
Shutter Island is a 2010 American psychological thriller film directed by Martin Scorsese .,"Shutter Island is a 2010 American psychological thriller film directed by Martin Scorsese , with Leonardo DiCaprio , based on novel Dennis Levane .",Shutter Island is a 2010 psychological thriller movie directed by Martin Scorsese.
"A well defined ridge extends north-west from the Great Dividing Range for around NUMBER@1 kilometres , then the boundary turns north .","A mountain ridge goes north-west from the Great Dividing Range for about NUMBER@1 kilometres , then the boundary turns north .","A well defined ridge extends north-west from the Great Dividing Range for about NUMBER@1 kilometres, then the boundary turns north."
"A larger study started later by PERSON@1 used timetables of train arrivals combined with deportation records to calculate NUMBER@1 Jewish deaths and NUMBER@2 NUMBER@3 ethnic Polish victims , along with NUMBER@4 ORGANIZATION@1 and Sinti -LRB- Gypsies -RRB- .","Around the same time , PERSON@1 used timetables of train arrivals and other records of sending out of people by the ORGANIZATION@2 . He calculated NUMBER@5 million Jewish deaths and NUMBER@2 NUMBER@3 Polish victims , along with NUMBER@4 ORGANIZATION@1 -LRB- gypsies -RRB- .","A larger study started later by PERSON@1 used timetables of train arrivals combined with deportation records to calculate NUMBER@1 Jewish deaths and NUMBER@2 NUMBER@3 ethnic Polish victims, along with NUMBER@4 ORGANIZATION@1 and Sinti -LRB- Gypsies -RRB-."
"The animal has great control over the organs , capable of producing disorienting flashes of light for fractions of a second to several minutes in duration .",The animal has great control over the organs . It is capable of producing disorienting flashes of light for fractions of a second to several minutes in duration .,"The animal has great control over the organs, and can produce disorienting flashes of light for fractions of a second to several minutes in duration."
"This article is about the demographic features of the population of Pakistan , including population density , ethnicity , education level , health of the populace , economic status , religious affiliations and other aspects of the population .",Pakistan has a multicultural and multi-ethnic society and has one of the largest refugee populations in the world as well as a young population .,"This article is about the demographic features of the population of Pakistan, including population density, ethnicity, education level, health of the populace, economic status, religions and other aspects of the population."
"Arge has for its left tributaries : Buda , Valea cu Pe ti , Valea Lupului , Limpedea , Chiciura , Valea Ia ului , Vâlsan , Valea Satului , Râul Doamnei , Râncaciov , Cârcinov , Budi teanca , Sabar , Câln u , Dâmbovi a , Rasa , and Luica .",Tributaries,"Arge has for its left tributaries : Buda, Valea cu Pe ti, Valea Lupului, Limpedea, Chiciura, Valea Ia ului, Vâlsan, Valea Satului, Râul Doamnei, Cârcinov, Budi teanca, Sabar, Câln u, Dâmbovi a, Rasa, and Lu"
"PERSON@1 was denied admission to ORGANIZATION@1 , ORGANIZATION@2 , not because of her grades or her test scores , but because school officials were afraid that she would leave mid-term to pursue her acting career .","She was rejected from ORGANIZATION@1 , ORGANIZATION@2 because they feared she would leave mid-year to follow her acting career .","She was denied admission to ORGANIZATION@1, ORGANIZATION@2 because of her grades or her test scores."
Cheers is an American situation comedy television series that ran for eleven seasons from NUMBER@1 to NUMBER@2 .,"It was nearly canceled during its first season -LRB- in which it ranked dead last among NUMBER@3 shows -RRB- , but eventually became one of the most popular shows on TV , earning a top-ten rating during seven of its eleven seasons .",Cheers is an American situation comedy television show.
"Deposition occurs when the forces responsible for sediment transportation are no longer sufficient to overcome the forces of particle weight and friction , which creates a resistant in motion .","Deposition happens when the forces that transport sediments are weaker than the forces of particle weight and friction , which resist motion .","Deposition occurs when the forces responsible for sediment transportation are no longer sufficient to overcome the forces of particle weight and friction, which creates a resistant in motion."
Among the Second International 's most famous actions were its -LRB- 1889 -RRB- declaration of May 1 as International Workers ' Day and its -LRB- 1910 -RRB- declaration of March 8 as International Women 's Day .,Among the Second International 's most famous actions were its -LRB- 1889 -RRB- declaration of May 1 as International Labour Day and its -LRB- 1910 -RRB- declaration of March 8 as International Women 's Day .,Among the Second International's most famous actions were its -LRB- 1889 -RRB- declaration of May 1 as International Workers'Day and its -LRB- 1910 -RRB- declaration of March 8 as International Women's Day.
"In 1930 Rutherford , Chadwick and Ellis published together a classic monograph Radiations from Radioactive Substances .","In 1930 Rutherford , Chadwick and Ellis wrote a famous book together called Radiations from Radioactive Substances .","In 1930 Rutherford, Chadwick and Ellis published together a classic monograph."
Iwate Prefecture,And there are Tohoku Sinkansen station and the Tohoku Expressway in Hachinohe .,Iwate Prefecture
"Van Leeuwenhoek did not author any books , although he did write many letters .","Van Leeuwenhoek never wrote books , just letters .",Van Leeuwenhoek did not write any books.
congregations of bald eagles is a late-winter \/O/ early-spring phenomenon -RRB- .,Bald Eagle,bald eagles is a late-winter /O/ early spring phenomenon -RRB-.
"PERSON@1 , a fictional ex-FBI agent character from the anime and manga series Death Note",In fiction :,"PERSON@1, a fictional ex-FBI agent character from the manga series Death Note"
"The game is the first PSP and Wii release of the NBA 2K series , and the first on a Nintendo system since NBA 2K7 for the GameCube .","The game is the first PSP and Wii release of the NBA 2K series , and the first on a Nintendo system since NBA 2K3 for the GameCube .",The game is the first PSP and Wii game in the NBA 2K series.
"When he was only two years old , his family moved to his grandmother 's place in the city of LOCATION@1 in LOCATION@2 .",Albums,"When he was only two years old, his family moved to her place in the city of LOCATION@1 in LOCATION@2."
"As of December 2009 , Honeyboy Edwards , at age 95 , and his close friend Pinetop Perkins -LRB- age 97 -RRB- are the oldest Delta blues players still touring the United States .","He was friends with Robert Johnson , and was with him when he died .",Honeyboy Edwards -LRB- at 95 -RRB- and his close friend Pinetop Perkins -LRB- age 97 -RRB- are the oldest Delta blues players still touring the United States.
"The city has undergone a succession of name changes , in the order of LOCATION@1 -LRB-/O1578/O-RRB- , PERSON@1 -LRB-/O1732/O-RRB- , Fort St. PERSON@2 -LRB-/O1804/O-RRB- , Fort-Royal -LRB-/O1811/O-RRB- and finally as Fort-Libert é since NUMBER@1 .","In NUMBER@1 , after the death of PERSON@3 , the name was changed back to LOCATION@2 .","The city has had a succession of name changes, in the order of LOCATION@1 -LRB-/O1578/O-RRB-, PERSON@1 -LRB-/O1732/O-RRB-, Fort St. PERSON@2 -LRB-/O1804/O-RRB-, Fort-Royal -LRB-/O1811/O-RRB- and finally as Fort-Liber"
It is located south-west of Sydney on the Hume Highway and above sea-level .,"Goulburn was named by James Meehan after Henry Goulburn , a British politician .",It is located south-west of Sydney on the Hume Highway.
"Being almost exclusively untouched , old-growth forests and supporting a disproportionately high biodiversity including flora of LOCATION@1 and New Guinean origin , the rainforests are of high conservation significance .",These are old-growth forests and support a huge range of plants . These rainforests are of high conservation significance .,"Being almost exclusively untouched old-growth forests and supporting a disproportionately high biodiversity including flora of LOCATION@1 and New Guinean origin, the rainforests are of high conservation significance."
"Cannon Street station , also known as London Cannon Street , is a central London railway terminus and London Underground station complex in the City of London , the financial district of London in England .","Cannon Street stationAlso known -LRB- but rarely -RRB- as London Cannon Street : is a central London railway terminus and London Underground station complex in the City of London , the financial district of London .","Cannon Street station, also known as London Cannon Street, is a central London railway terminus and London Underground station complex in the Financial District of London, England."
The steam locomotives of British Railways were used by British Railways over the period 1948 -- 1968 .,The steam locomotives of British Railways were used by British Railways over the period 1948-1968 .,The steam locomotives of British Railway were used by British Railways from 1948 to 1968.
"They are collectively known as the College of Cardinals , which as a body elects a new pope .",The Pope is elected by a college of Cardinals .,"They are known as the College of Cardinals, which elects a new pope."
