source_sentence,simplified_sentence
"Another story is that when Apollo sent his raven to get some water in the god 's cup -LRB- Crater -RRB- , the raven waited for some figs to ripen and had a feast on them .","In another story , Apollo sent his raven to get some water in the god 's cup called the Crater . The raven waited for some figs to become ripe and ate them ."
"Linspire , Inc. offered users a '' free Linspire '' -LRB- purchase price discounted to $ 0 -RRB- by using the coupon code '' Freespire '' until September 9 , 2005 .","Linspire , Inc. offered users a '' free Linspire '' -LRB- purchase price discounted to $ 0 -RRB- by using the coupon code '' Freespire '' until September 9 2005 ."
"The adjective geothermal originates from the Greek roots geo , meaning earth , and thermos , meaning heat .","Geothermal energy -LRB- from the Greek roots geo , meaning earth , and thermos , meaning heat -RRB- is energy made by heat inside the Earth 's crust ."
He became posthumously a charter member of the Hockey Hall of Fame in 1945 .,Gardiner was an original member of the Hockey Hall of Fame in 1945 .
"The last sacre was that of Charles X , 29 May 1825 .",The last coronation ceremony was that of Charles X of France in 1825 .
"To specify a matrix 's size , a matrix with m rows and n columns is called an m-by-n matrix or m × n matrix , while m and n are called its dimensions .",A matrix with m rows and n columns is called an m-by-n matrix -LRB- or m & times ; n matrix -RRB- and m and n are called its dimensions .
"NUMBER@1 & ndash ; PERSON@1 , American film executive -LRB- d. NUMBER@2 -RRB-","NUMBER@1 -- PERSON@2 , American businessman -LRB- d. NUMBER@2 -RRB-"
"Grenville received his education at Eton College and at Christ Church , Oxford , and was called to the bar in 1736 .","Grenville went to school at Eton College and at Christ Church College , Oxford ."
"This character resembles the comic books ' character PERSON@1 ; however , the official cast credits read '' Kid Omega '' , although the writers on the DVD commentary give no doubt that it is , in fact , PERSON@1 .","This character looks like the comic books ' character PERSON@1 ; however , the official cast credits say '' Kid Omega '' ."
"PERSON@1 , OQ -LRB- -RRB- -LRB- born April NUMBER@1 , NUMBER@2 -RRB- , is a Canadian automobile racing driver .","PERSON@1 , OQ -LRB- born April NUMBER@1 , NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is a Canadian automobile racing driver ."
"Chemistry of amber Amber is heterogeneous in composition , but consists of several resinous bodies more or less soluble in alcohol , ether and chloroform , associated with an insoluble bituminous substance .","Amber consists of several resinous bodies more or less soluble in alcohol , ether and chloroform , associated with an insoluble bituminous substance ."
The first idea suggests that the two subspecies developed when Bali became isolated from Java by formation of the Bali Strait by rising sea levels after the ice age .,"The Balinese and Javan tigers were once the same , but during the Ice Age , Bali became isolated from Java by the Bali Strait ."
Guru or Bhagat Ravidas -LRB- also Raidas -RRB- was a north Indian Sant mystic of the bhakti movement who was active in the 15th century CE .,"Ravidas , also spelt as Raidas , was an Indian saint of 15th century ."
"October 29 & ndash ; English adventurer , writer , and courtier Sir Walter Raleigh is beheaded for allegedly conspiring against James I of England .","October 29 - English adventurer , writer , and courtier Sir Walter Raleigh is beheaded for allegedly conspiring against James I of England ."
Branches of the ORGANIZATION@1 are located throughout LOCATION@1 .,The branches of the ORGANIZATION@1 are located throughout LOCATION@1 .
"The original Duchy of Saxony comprised lands of the Saxon people in the north-western part of present-day Germany , namely , the contemporary German state of Lower Saxony as well as Westphalia and Western Saxony-Anhalt , not corresponding to the modern German state of Saxony .","The original Duchy of Saxony was the lands of the Saxon people in the north-western part of present-day Germany , namely , the modern German state of Lower Saxony as well as Westphalia and Western Saxony-Anhalt , not the modern German state of Saxony ."
"John Evander Couey -LRB- born September 19 , 1958 -RRB- is an American convicted of kidnapping , raping , and murdering nine-year old Jessica Lunsford in February 2005 , in Florida .","John Evander Couey -LRB- born September 19 , 1958 -RRB- is an American sex offender and murderer . He was convicted of kidnapping , raping , and murdering nine-year old Jessica Lunsford in February 2005 , in Florida ."
"The Rotfront , or '' ORGANIZATION@1 , '' was the RotfrontkÃ mpferbund , the paramilitary organization of the ORGANIZATION@2 -LRB- ORGANIZATION@3 -RRB- .","The '' Rotfront '' -LRB- '' Red Front '' -RRB- was a reference to the RotfrontkÃ mpferbund , a communist militia tied to the ORGANIZATION@2 -LRB- ORGANIZATION@3 -RRB- ."
"Biography Internationally acclaimed Japanese conductor , PERSON@1 , was born on September NUMBER@1 , NUMBER@2 to Japanese parents in the city of LOCATION@1 , LOCATION@2 , while it was under Japanese occupation .",PERSON@1 -LRB- born NUMBER@1 September NUMBER@2 -RRB- is a Japanese conductor . LOCATION@1 was under Japanese occupation at the time .
"North Carolina borders South Carolina on the south , Georgia on the southwest , Tennessee on the west , Virginia on the north , and the Atlantic Ocean on the east .","North Carolina is connected to South Carolina on the south , Georgia on the southwest , Tennessee on the west , Virginia on the north , and the Atlantic Ocean on the east ."
Thiéville is a commune in the Calvados department in the Basse-Normandie region in northern France .,It is found in the region Basse-Normandie in the Calvados department in the northwest of France .
"in LOCATION@1 , OH",LOCATION@1
"Macroevolutionary studies focus on change that occurs at or above the level of species , in contrast with microevolution , which refers to smaller evolutionary changes -LRB- typically described as changes in allele frequencies -RRB- within a species or population .","Microevolution , on the other hand , refers to smaller evolutionary changes within species or populations . Microevolution can typically be described as changes in allele frequencies ."
"By the 6th millennium BC , evidence of a prehistoric religion or cult appears , with a number of sacrificed cattle buried in stone-roofed chambers lined with clay .","By the 6th millennium BC , there may have been a prehistoric religion or cult . Sacrificed cattle were found buried in stone-roofed chambers lined with clay ."
"Marmalade can be made from lemons , limes , grapefruits , sweet oranges or any combination thereof .","Marmalade can also be made from lemons , limes , grapefruits , or a combination of citrus fruits ."
U -LRB- Ð # Ñ ; italics : Ð # Ñ -RRB- is a letter of the Cyrillic alphabet .,"U -LRB- Ð # , Ñ -RRB- is the eighteenth letter in the Cyrillic alphabet ."
His distinctive beard and impassioned sales pitches made him a recognized television presence in the United States and Canada .,His distinctive beard and loud sales pitches made him a recognized television presence in the United States and Canada .
"At any given time , there are well over 50,000 highly significant articles , so just visit some minor articles first , until those difficult users have lost interest in following .","At any given time , there are well over 50,000 highly significant article topics , so just visit some minor articles first , until those difficult users have lost interest in following ."
"The NUMBER@1 Tour de LOCATION@1 saw the emergence of PERSON@1 as he won the race with support from PERSON@2 , who in turn had won the World Cup race Amstel Gold Race earlier in NUMBER@1 .","In the NUMBER@1 Tour de France PERSON@1 as he won the race with support from PERSON@2 , who had earlier won the Amstel Gold World Cup race ."
"In 1993 , she replaced her father as field expedition leader for Turkana paleontological expeditions , in one of the most arid and hostile environments on earth .","In 1993 , she replaced her father Richard Leakey as field expedition leader for Turkana paleontological expeditions , in one of the most arid and hostile environments on Earth ."
"PERSON@1 -RRB- , was a deity in Egyptian mythology who in the form of Amun-Ra became the focus of the most complex system of theology in Ancient LOCATION@1 .","PERSON@1 , Egyptian Yamanu -RRB- was the name of a deity , in Egyptian mythology , who became one of the most important deities in Ancient LOCATION@1 ."
grow -LRB- mitachondrian uses oxygen for growth -RRB-,grows -LRB- mitachondrian uses oxygen for growth -RRB-
"Early in the series , Molly is the only character who makes a costume but creates it from old bed sheets and clothes , not the traditional spandex of superhero costumes ; she never wears the costume again .",Molly is the only character who makes a costume but it is made from old bed sheets and clothes . She never wears the costume again after vol .
LOCATION@1 The Sedgewick Fire was the northernmost of the October NUMBER@1 LOCATION@2 wildfires .,LOCATION@1 Sedgewick Fire The Sedgewick Fire was the farthest north of the October NUMBER@1 LOCATION@2 wildfires .
"It has a wide range of desktop and rescue software , and can load entirely into RAM -LRB- if enough RAM is available -RRB- or be installed to a hard drive .","It has a wide range of desktop and rescue software , and can load entirely into RAM or be installed to a hard drive ."
"The newspaper should not be confused with the monthly publication ORGANIZATION@1 diplomatique , of which ORGANIZATION@1 has NUMBER@1 % ownership , but which is editorially independent .",The newspaper should not be confused with the monthly publication ORGANIZATION@1 diplomatique ' . ORGANIZATION@1 has NUMBER@1 % ownership of the monthly .
"The result is a region of braided streams , marshes , and lakes the size of Belgium ; the seasonal floods make the Delta extremely productive for both fishing and agriculture .","This makes a region of connected streams , marshes , and lakes over an amount of land the same size as Belgium . The yearly floods make the delta very good for fishing and farming ."
