,source_sentence,simplified_sentence
268914,"They were cited as the southernmost land mass plotted as of that time , and retained the honor for 156 years , until the discovery of the South Sandwich Islands in 1775 .","They kept this status for 156 years . In 1775 , James Cook discovered the South Sandwich Islands , which are much farther south ."
494400,Anillidris is a genus of ants which only contains the species Anillidris bruchi .,Anillidris is a genus of ants . It was only one species Anillidris bruchi .
71132,70 1045 to 1068 Emperor Go-Reizei Chikahito Traditional dates .,"70 1045 to 1068 Emperor Go-Reizei Chikahito Brown , pp ."
348190,"PERSON@1 is a town in LOCATION@1 , LOCATION@2 , LOCATION@3 .",PERSON@2 Passes is a city of LOCATION@2 in the LOCATION@3 .
331506,"Announcing the device in March NUMBER@1 , ORGANIZATION@1 officially unveiled it at the Electronic Entertainment Expo NUMBER@1 -LRB- NUMBER@2 NUMBER@1 -RRB- , with the company inviting attendees to play with the console .",ORGANIZATION@1 first released the 3DS in the Electronic Entertainment Expo NUMBER@1 -LRB- NUMBER@2 NUMBER@1 -RRB- .
26873,"Lavigne 's debut single and the album 's lead single , '' Complicated '' , went to number one in Australia and number two in the United States .","It got to number one in Canada , Australia and the United Kingdom , and number two in the United States ."
528282,These explanations are complementary rather than mutually exclusive - all instances of behavior require an explanation at each of these four levels .,All instances of behavior require an explanation at each of these four levels .
45528,"To protect itself from predators , an Edmontonia might have crouched down on the ground to minimize the possibility of attack to its defenseless underbelly .","To protect itself from predators , it probably would have crouched down on the ground to minimize the possibility of attack to its defenceless underbelly ."
443561,"PERSON@1 '' PERSON@2 '' PERSON@3 -LRB- January NUMBER@1 , NUMBER@2 -- October NUMBER@3 , NUMBER@4 -RRB- was the first African-American ORGANIZATION@1 player of the modern era .","PERSON@1 '' PERSON@2 '' PERSON@3 -LRB- January NUMBER@1 , NUMBER@2 -- October NUMBER@3 , NUMBER@4 -RRB- was the first African-American major league baseball player ."
226999,"Body piercing , a form of body modification , is the practice of puncturing or cutting a part of the human body , creating an opening in which jewellery may be worn .",Body piercing is a form of body modification .
1565,Sometimes the word is used to denote the larval stage of any insects .,Sometimes the word is used to describe the larval stage of any insect .
105315,"Paul Breitner -LRB- born 5 September 1951 in Kolbermoor , Bavaria -RRB- is a former German football player .","Paul Breitner -LRB- born 5 September , 1951 -RRB- is a former German football player ."
340660,"In NUMBER@1 , the software used a green parrot called LOCATION@1 , and in later versions , PERSON@1 made their own fictional character , PERSON@2 , who was a purple gorilla .",The fictional character was a purple gorilla .
245738,"Newkirk is a city in Kay County , Oklahoma , United States .",Newkirk is a city of Oklahoma in the United States .
304947,"Album pages are almost always one-sided ; two-sided pages save space , but require interleaving sheets to prevent stamps from catching on each other .",Album pages are almost always one-sided pages .
417313,The Velvet Underground & PERSON@1 is the debut album by American rock band The Velvet Underground and vocal collaborator PERSON@1 .,The ORGANIZATION@1 is the first album by American rock band The Velvet Underground .
83245,"He was the son of Johann Sebastian Bach , but he was far different , especially for his dissolute habits .","He was the son of Johann Sebastian Bach , but he was far different , especially his habits , which people did n't like ."
575173,"It is the only living species of the order Tubulidentata , although other prehistoric species and genera of LOCATION@1 are known .",Order Tubulidentata
209133,There are no written records of the Brigantes before the Roman conquest of Britain ; it is therefore hard to assess how long they had existed as a political entity prior to that .,Brigantes at Romans
228910,"He worked as an elementary school teacher like his father , and in 1909 he began his political career , joining the German Democratic Party .",He was an elementary school teacher until joining the German Army in 1914 .
411535,LOCATION@1 could not expand with the LOCATION@2 in the way .,Because of that LOCATION@3 declared war on LOCATION@1 .
279801,"Giza is most famous as the location of the Giza Plateau : the site of some of the most impressive ancient monuments in the world , including a complex of ancient Egyptian royal mortuary and sacred structures , including the Great Sphinx , the Great Pyramid of Giza , and a number of other large pyramids and temples .",There are a complex of ancient Egyptian royal mortuary and sacred structures there .
9536,"Temperatures rarely rise above 32 Â , and freezing temperatures only occur in winter in the highest mountains .",Temperatures very few times get above 32 Â C ; temperatures get below 0 Â C only in the highest mountains in winter .
131356,"Platforms 2 and 3 -LRB- island platform in the center -RRB- house the main station building , constructed of red brick building and containing an enclosed waiting area , ticket facilities and toilets .",Facilities
41322,"Jordin Brianna Sparks -LRB- born December 22 , 1989 -RRB- is an American singer-songwriter who rose to fame as the winner of the sixth season of American Idol .","Jordin Brianna Sparks -LRB- born December 22 , 1989 in Staten Island , New York -RRB- is an American singer ."
380266,Any type of protection or unprotection may be requested at .,Unprotection
269973,"With these definitions the multiset written as -LCB- a , a , b -RCB- is defined as -LRB- -LCB- a , b -RCB- , -LCB- -LRB- a , 2 -RRB- , -LRB- b , 1 -RRB- -RCB- -RRB- , and the multiset -LCB- a , b -RCB- is defined as -LRB- -LCB- a , b -RCB- , -LCB- -LRB- a , 1 -RRB- , -LRB- b , 1 -RRB- -RCB- -RRB- .","For example , in the multiset -LCB- a , a , b , b , b , c -RCB- , the multiplicities of the members a , b , and c are respectively 2 , 3 , and 1 ."
510502,PERSON@1 -LRB- ; ; born NUMBER@1 July NUMBER@2 in LOCATION@1 -RRB- is a German footballer who plays as a striker for ORGANIZATION@1 in the German Bundesliga .,He plays in the German Bundesliga for ORGANIZATION@1 .
80347,season = 2009 -- 10,Serie A : 2
111769,Baroville is a commune in the Aube department in north-central France .,Baroville is a commune of the Aube département in the north-central part of France .
277908,"Although total monetary damage from the storm is unknown , estimates of losses in Havana , Cuba exceed $ 1 million and in the Florida Keys , $ 250,000 .","However , losses in Havana , Cuba were over $ 1 million ."
37766,"Prescott first used a noctograph while staying with Adams ; the tool became a permanent feature of his life , allowing him to write independently in spite of his impaired eyesight .","Prescott found it difficult to write because his eyesight was so poor , so Adams gave him a device called a noctograph to help him ."
423529,Ministry of Culture LOCATION@1 or shalvar are loose pajama-like trousers .,Salvars or shalvars are loose pajama-like trousers .
311590,"Numerous words were borrowed from existing languages , but less and less obviously as ORGANIZATION@1 progressed , so that attempts to match a source to a particular Elvish word or name in works published during his lifetime are often very dubious .","Other languages are not very detailed , and some languages have only a few words and names ."
123328,Dallas Stars -- 97 points,Dallas Stars - 97 points
255010,"Fred McFeely Rogers -LRB- March 20 , 1928 â '' February 27 , 2003 -RRB- was an American educator , Presbyterian minister , songwriter , and television host .","Fred Rogers -LRB- March 20 1928 - February 27 2003 -RRB- , was an American TV personality and Presbyterian minister ."
211729,"Also , the additional protocols of June 8 , 1977 were intended to make the conventions apply to internal conflicts such as civil wars .","On June 8 , 1977 extra article '' protocols '' were added to make the conventions apply to internal conflicts such as civil wars ."
425293,The fictional characters PERSON@1 -LRB- invented by ORGANIZATION@1 -RRB- and PERSON@2 -LRB- invented by PERSON@3 -RRB- each held a KCIE ; Kipling 's engineer Findlayson in The Day 's Work -LRB- NUMBER@1 -RRB- aspires to the CIE.,The fictional characters PERSON@1 -LRB- invented by ORGANIZATION@1 -RRB- and PERSON@2 -LRB- invented by PERSON@3 -RRB- each held a KCIE ; Kipling 's engineer Findlayson in The Day 's Work -LRB- NUMBER@1 -RRB- wants the CIE.
63870,"One hour dramas included genre series such as police and detective series , westerns , science fiction , and , later , serialized prime time soap operas .","One hour dramas could have detective series , westerns and science fiction ."
